"","issue","affected_files","affected_variables","severity","comment"
"1","variable 'c(""mantika"", ""mantika"", ""mantika"")' used in 'relevant' condition not found in question 'name'","questions","hi_tripoli","critical","skip logic will not be calculated correctly"
"2","variable 'c(""mantika"", ""mantika"", ""mantika"")' used in 'relevant' condition not found in question 'name'","questions","hi_misrata","critical","skip logic will not be calculated correctly"
"3","variable 'c(""mantika"", ""mantika"", ""mantika"")' used in 'relevant' condition not found in question 'name'","questions","hi_benghazi","critical","skip logic will not be calculated correctly"
"4","failed to evaluate 'relevant' condition","questions","physical_cognitive_male_children_err","critical","condition that failed: 'selected(${physical_cognitive_difficulties},'yes_male_children*') and ${nb_children_male}=0'.  --- evaluation failed with error:  could not find function ""selected"""
"5","illegal hypothesis type:  direct_reporting_median","analysisplan","","critical","allowed types are: direct_reporting, group_difference, change, correlation, limit"
"6","illegal hypothesis type:  group_difference_median","analysisplan","","critical","allowed types are: direct_reporting, group_difference, change, correlation, limit"
"7","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","blankets","minor","value:  hh_owns_it_no_need_more"
"8","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","clothing_cold_weather","minor","value:  hh_owns_it_no_need_more"
"9","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","heating_systems","minor","value:  hh_owns_it_no_need_more"
"10","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","mosquito_nets","minor","value:  hh_owns_it_no_need_more"
"11","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","smart_phone","minor","value:  hh_owns_it_no_need_more"
"12","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","tv","minor","value:  hh_owns_it_no_need_more"
"13","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","desktop_laptop_computer","minor","value:  hh_owns_it_no_need_more"
"14","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_nonproductive_hh_assets","minor","value:  noneed_to"
"15","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_nonproductive_hh_assets","minor","value:  use_this_coping_strategy"
"16","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_productive_hh_assets","minor","value:  noneed_to"
"17","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","sold_productive_hh_assets","minor","value:  use_this_coping_strategy"
"18","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","spent_savings","minor","value:  noneed_to"
"19","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","spent_savings","minor","value:  use_this_coping_strategy"
"20","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_money","minor","value:  noneed_to"
"21","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_money","minor","value:  use_this_coping_strategy"
"22","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_purchased_oncredit_food","minor","value:  noneed_to"
"23","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","borrowed_purchased_oncredit_food","minor","value:  use_this_coping_strategy"
"24","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_essential_nfi","minor","value:  noneed_to"
"25","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_essential_nfi","minor","value:  use_this_coping_strategy"
"26","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_health_education","minor","value:  noneed_to"
"27","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","reduced_expenditures_health_education","minor","value:  use_this_coping_strategy"
"28","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_dropped_school","minor","value:  noneed_to"
"29","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_dropped_school","minor","value:  use_this_coping_strategy"
"30","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","delayed_skipped_rent","minor","value:  noneed_to"
"31","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","delayed_skipped_rent","minor","value:  use_this_coping_strategy"
"32","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","begging","minor","value:  noneed_to"
"33","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","begging","minor","value:  use_this_coping_strategy"
"34","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","took_additional_job","minor","value:  noneed_to"
"35","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","took_additional_job","minor","value:  use_this_coping_strategy"
"36","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","adult_accepting_degrading_illegal_work","minor","value:  noneed_to"
"37","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","adult_accepting_degrading_illegal_work","minor","value:  use_this_coping_strategy"
"38","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","minor_accepting_degrading_illegal_work","minor","value:  noneed_to"
"39","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","minor_accepting_degrading_illegal_work","minor","value:  use_this_coping_strategy"
"40","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_marriage","minor","value:  noneed_to"
"41","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","child_marriage","minor","value:  use_this_coping_strategy"
"42","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","other_cash_coping_mechanism","minor","value:  noneed_to"
"43","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","other_cash_coping_mechanism","minor","value:  use_this_coping_strategy"
"44","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","chronicdisease_services_unavailable","minor","value:  .specialized_consultation_unavailable"
"45","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","baladiya_before_displacement","minor","value:  other"
"46","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","hh_nearfutur_intention","minor","value:  settke"
"47","select_one or select_multiple values in data that are not listed in the questionnaire (data values split by on "" "" (spaces))","data/questionnaire","hh_nearfutur_intention","minor","value:  elsewhere_within_libya"
